ZINC_ID,Glide_5R8T,Glide_5R81,Glide_5REZ,Glide_5RF7,Glide_5RGI,Glide_5RH3,Glide_6LU7_2,Glide_7BUY
C87788846_P137305099,-5.144,-6.714,-5.963,-7.187,-5.733,-5.179,-6.238,-6.578
C57340681_P86078085,-5.422,-5.938,-5.893,-7.656,-5.683,-5.454,-5.688,-6.577
C40973313_P62187308,-5.294,-6.331,-5.997,-7.292,-5.537,-5.474,-6.315,-6.575
C61968239_P95014266,-5.089,-6.662,-5.524,-6.2,-4.503,-5.921,-6.837,-6.573
C61687670_P153716443,-5.797,-6.194,-6.54,-6.406,-5.139,-6.579,-6.831,-6.572
C94217199_P147660075,-5.408,-6.486,-5.958,-6.284,-6.068,-6.126,-6.187,-6.565
C26898836_P39650590,-5.171,-5.559,-5.212,-6.249,-5.256,-5.609,-6.171,-6.565
C63514845_P97533961,-5.218,-6.303,-6.014,-7.224,-5.295,-7.091,-7.077,-6.56
C40294613_P61178173,-5.418,-6.76,-6.902,-7.11,-5.259,-5.647,-6.587,-6.556
C70686115_P109050085,-5.533,-5.995,-5.716,-6.287,-5.73,-4.938,-6.416,-6.556
C33928173_P130278975,-5.984,-6.222,-4.851,-7.328,-4.458,-4.976,-5.648,-6.556
C85756582_P134246101,-5.592,-5.953,-5.715,-6.701,-5.153,-5.28,-6.416,-6.552
C88570519_P138533884,-5.811,-6.373,-6.722,-7.125,-6.803,-5.11,-5.811,-6.55
C94816568_P148615071,-4.76,-6.329,-6.01,-6.476,-6.037,-6.425,-5.517,-6.549
C54600122_P153716655,-6.081,-6.157,-6.242,-7.059,-5.871,-6.584,-6.409,-6.546
C35462486_P52622044,-6.189,-6.359,-5.93,-6.214,-5.548,-5.452,-5.736,-6.546
C85419672_P133676470,-5.346,-6.377,-5.93,-6.375,-5.689,-6.212,-5.64,-6.546
C35733745_P90146451,-5.577,-5.962,-5.165,-5.636,-5.802,-5.648,-5.6,-6.546
C53711389_P80754963,-5.534,-7,-6.175,-7.625,-6.377,-5.735,-6.251,-6.543
C87725384_P137212456,-5.383,-5.852,-5.857,-6.129,-4.847,-4.957,-5.87,-6.54
C39946727_P97145175,-5.564,-5.997,-5.881,-7.641,-5.315,-6.24,-5.815,-6.535
C94815829_P148614821,-5.484,-5.91,-5.556,-6.406,-5.249,-6.164,-5.395,-6.534
C05295297_P156213690,-4.834,-6.003,-5.78,-6.629,-5.959,-5.217,-6.389,-6.533
C05753717_P08595695,-5.697,-6.604,-6.518,-6.651,-6.356,-5.8,-6.337,-6.524
C88774623_P138882971,-5.617,-5.906,-5.308,-6.625,-5.486,-5.136,-5.291,-6.523
C94289288_P147775329,-4.858,-4.395,-5.316,-5.23,-4.844,-4.84,-5.162,-6.522
C34962140_P51895914,-5.627,-7.031,-5.939,-6.514,-4.44,-6.681,-6.989,-6.512
C44187014_P66742566,-5.553,-5.49,-4.801,-6.111,-4.324,-4.545,-5.47,-6.511
C83002928_P129744913,-5.108,-5.228,-5.674,-6.264,-6.006,-4.807,-5.262,-6.509
C48628242_P72683809,-5.362,-6.223,-6.482,-6.569,-6.234,-5.947,-5.648,-6.507
C40232062_P61088353,-4.825,-6.162,-6.559,-5.88,-5.014,-4.767,-5.506,-6.505
C83461680_P130566450,-4.787,-5.384,-5,-5.68,-4.02,-4.599,-5.438,-6.496
C41057149_P62308630,-4.936,-5.928,-5.738,-6.724,-5.204,-5.226,-6.21,-6.49
C35342668_P52437884,-5.849,-6.297,-5.785,-7.051,-5.616,-5.574,-7.023,-6.486
C39104010_P59244172,-6.054,-7.311,-6.245,-6.604,-5.559,-5.827,-7.024,-6.482
C87764883_P137271934,-5.223,-5.612,-5.795,-6.495,-5.525,-5.437,-5.288,-6.481
C91993231_P144018888,-5.335,-6.004,-5.152,-6.572,-5.086,-5.856,-6.459,-6.475
C97963745_P155565256,-5.585,-8.499,-6.19,-8.197,-5.788,-5.334,-6.592,-6.474
C72050812_P111841734,-4.933,-6.819,-5.984,-6.757,-4.679,-5.027,-4.9,-6.473
C39112502_P59252657,-5.219,-5.478,-5.15,-5.832,-4.956,-5.928,-4.962,-6.468
C14985974_P22784999,-5.053,-5.944,-5.769,-5.941,-6.106,-6.158,-5.917,-6.466
C86348145_P135211011,-5.438,-6.706,-6.128,-6.86,-5.776,-6.155,-6.153,-6.465
C39783742_P60331773,-6.073,-6.791,-5.993,-6.155,-5.888,-6.134,-6.142,-6.465
C88016444_P137653171,-5.162,-6.379,-6.516,-7.593,-5.223,-5.984,-7.2,-6.463
C50180759_P75052143,-5.792,-7.099,-6.084,-7.013,-6.524,-6.185,-6.777,-6.462
C03885155_P156449396,-5.833,-6.477,-5.707,-6.982,-6.577,-7.111,-6.28,-6.462
C86016498_P134682267,-6.449,-5.944,-6.051,-6.073,-5.494,-5.369,-5.956,-6.461
C83782736_P131066071,-5.694,-5.893,-6.334,-6.835,-5.279,-6.42,-5.863,-6.461
C89065514_P139300907,-5.492,-6.469,-6.483,-7.622,-6.498,-6.582,-7.332,-6.46
C05527903_P08214573,-6.059,-5.938,-5.629,-6.427,-6.381,-6.276,-6.081,-6.458
C12542397_P57644958,-3.923,-6.94,-6.926,-6.377,-4.641,-4.805,-6.631,-6.454
C89176481_P139466077,-5.54,-6.417,-6.062,-6.128,-5.462,-4.959,-6.895,-6.451
C04831119_P17166068,-5.579,-6.52,-6.526,-6.773,-5.371,-5.571,-5.866,-6.451
C86939548_P136112796,-5.249,-6.001,-4.951,-6.07,-4.836,-5.307,-5.914,-6.448
C71184626_P109890746,-5.15,-6.048,-5.509,-5.601,-5.434,-5.443,-5.377,-6.444
C32561720_P48178265,-4.774,-5.997,-5.304,-6.221,-5.44,-5.543,-6.035,-6.441
C62947398_P96589234,-5.732,-6.129,-6.263,-6.12,-5.056,-5.854,-6.345,-6.437
C37689849_P56047423,-5.398,-6.45,-6.119,-5.912,-6.803,-6.876,-6.941,-6.435
C94413992_P147964931,-4.757,-6.185,-5.526,-6.835,-4.629,-4.549,-5.272,-6.435
C86776970_P135830784,-4.503,-5.24,-5.244,-4.639,-5.159,-4.041,-4.735,-6.43
C94599763_P148287506,-4.932,-5.951,-6.027,-6.558,-5.099,-6.124,-6.235,-6.425
C36302343_P53940963,-5.879,-6.271,-5.89,-6.272,-5.196,-5.39,-5.531,-6.423
C36648252_P54691111,-4.826,-6.691,-6.01,-7.694,-4.6,-6.217,-5.476,-6.423
C97881465_P155355670,-5.302,-6.167,-5.724,-6.885,-5.929,-5.196,-6.582,-6.422
C04235282_P24173519,-6.433,-7.099,-6.593,-7.708,-6.563,-7.186,-6.2,-6.416
C94354307_P147881879,-5.382,-5.967,-6.273,-6.497,-5.514,-5.685,-6.955,-6.413
C40973386_P62187419,-5.26,-6.777,-5.975,-6.481,-4.949,-5.19,-5.991,-6.412
C00387975_P06597461,-5.165,-6.49,-5.809,-6.815,-5.695,-5.274,-6.597,-6.411
C54701361_P82311186,-5.095,-5.397,-5.584,-6.365,-5.652,-5.664,-5.727,-6.409
C17146748_P25779865,-5.424,-6.531,-5.995,-7.515,-5.855,-5.81,-6.535,-6.408
