ZINC_ID, docking_score,Flag
P19070774,-5.388,0
C06706588_P10590739,-5.386,0
C18265559_P153328824,-5.385,0
Active_32,-5.382,1
C91997327_P144023036,-5.381,0
C35567855_P52787008,-5.377,0
C20831278_P31104420,-5.376,0
C12532559_P20727228,-5.373,0
P99634754,-5.371,0
C35567782_P52786954,-5.367,0
C97990832_P155628851,-5.367,0
P76881463,-5.367,0
Active_35,-5.367,1
C02369765_P54351469,-5.366,0
P14706461,-5.366,0
P19912623,-5.365,0
P52524701,-5.365,0
C53712574_P80776467,-5.364,0
P39399890,-5.363,0
P57414613,-5.363,0
P51838260,-5.362,0
P16288134,-5.361,0
C05921732_P90764145,-5.36,0
P136272796,-5.359,0
C12532562_P20727230,-5.357,0
C20233278_P30145060,-5.357,0
C12531625_P52681144,-5.349,0
C34921354_P51835840,-5.344,0
C42674983_P140410504,-5.344,0
P155542502,-5.342,0
C20578753_P30714710,-5.341,0
C91656453_P143481793,-5.341,0
P133976863,-5.339,0
P12506604,-5.337,0
P140925527,-5.335,0
P89567443,-5.325,0
P110266826,-5.32,0
P151201817,-5.32,0
C33546508_P49696108,-5.318,0
P30405852,-5.317,0
P54277286,-5.314,0
C65247308_P152115145,-5.311,0
C43488970_P65785361,-5.307,0
P109062869,-5.306,0
P53731137,-5.306,0
P91068819,-5.305,0
P95487133,-5.304,0
P109074815,-5.299,0
C97212568_P153927400,-5.296,0
C03991858_P155564312,-5.291,0
P112044149,-5.29,0
C41248389_P96448061,-5.289,0
C10586621_P16008975,-5.285,0
P144902873,-5.284,0
P49380364,-5.283,0
P144880489,-5.28,0
P143402597,-5.278,0
C24001827_P35608993,-5.276,0
C97990191_P155627198,-5.27,0
C10579756_P20285708,-5.268,0
C38509263_P58275597,-5.26,0
C33600861_P49780108,-5.26,0
C09229841_P30640212,-5.259,0
C09375212_P37085187,-5.257,0
C70426579_P108596746,-5.256,0
C08715858_P13373574,-5.256,0
P145785515,-5.256,0
P91984192,-5.256,0
C39912729_P61503962,-5.252,0
C35465654_P52624453,-5.25,0
P17700081,-5.25,0
P23671895,-5.25,0
C40947441_P62160258,-5.249,0
P148285178,-5.248,0
C91907616_P143883510,-5.246,0
C08384170_P57710763,-5.245,0
P149971060,-5.244,0
C40498930_P61487782,-5.243,0
C39911588_P60558459,-5.242,0
P140266721,-5.24,0
C62007424_P95124233,-5.237,0
C94263378_P147732057,-5.237,0
P07582994,-5.236,0
P104261989,-5.234,0
C14356500_P21993625,-5.229,0
C34677683_P51456203,-5.227,0
P140497848,-5.227,0
C94263501_P147738046,-5.224,0
C55007700_P152627012,-5.223,0
P126655936,-5.219,0
P19864064,-5.219,0
C08386796_P12679632,-5.217,0
C88546275_P138496985,-5.216,0
C33490323_P49609419,-5.214,0
C33808588_P50102550,-5.213,0
P34206057,-5.212,0
C33437749_P49522529,-5.211,0
P156222045,-5.211,0
C38705934_P61582512,-5.21,0
C20219705_P105673489,-5.209,0
P22754460,-5.206,0
P31204112,-5.206,0
P52948466,-5.206,0
C33532937_P49672657,-5.204,0
P156205211,-5.204,0
P60482825,-5.201,0
C97862786_P155324681,-5.199,0
P155545522,-5.198,0
P112555774,-5.197,0
C20838096_P31110192,-5.193,0
P20113903,-5.193,0
P23048146,-5.193,0
P48600599,-5.193,0
C33813332_P50104959,-5.192,0
C67673464_P103898172,-5.192,0
P63591453,-5.191,0
C35420272_P52557820,-5.189,0
C08442747_P12793886,-5.188,0
C85221851_P133332383,-5.187,0
P33095379,-5.187,0
C03946889_P07179156,-5.186,0
C36514880_P54289088,-5.184,0
P128045492,-5.181,0
P18899744,-5.18,0
C09126055_P14001984,-5.179,0
P53565829,-5.179,0
C19615900_P29107348,-5.177,0
P107531397,-5.177,0
C72439135_P112707328,-5.176,0
C27749163_P74976171,-5.176,0
C16450477_P24858102,-5.173,0
C94444106_P148024894,-5.172,0
C95516865_P150119059,-5.17,0
C20831893_P31104689,-5.169,0
P104262003,-5.169,0
C19525945_P28913033,-5.164,0
P53555943,-5.163,0
C65194578_P156434671,-5.162,0
C17886468_P155875613,-5.162,0
C95932550_P151054202,-5.159,0
C48633497_P72707949,-5.157,0
P54707281,-5.152,0
C65371852_P100496662,-5.151,0
C87846923_P137406112,-5.151,0
C87948629_P137562427,-5.151,0
P136630434,-5.151,0
P34525380,-5.149,0
C04768954_P156209138,-5.148,0
P149775508,-5.147,0
C33776384_P50048352,-5.144,0
P24253900,-5.144,0
C08384134_P52526527,-5.143,0
C33515736_P49644144,-5.143,0
P137834253,-5.14,0
C37071629_P55108587,-5.135,0
C94606652_P148293868,-5.134,0
C22204212_P33019987,-5.134,0
P100582106,-5.134,0
P56319995,-5.134,0
P09348503,-5.133,0
P155964513,-5.133,0
C97953023_P155534389,-5.132,0
C72144279_P112013977,-5.132,0
P99243644,-5.132,0
C21079780_P31482738,-5.131,0
P28700837,-5.131,0
P04506943,-5.127,0
P79954583,-5.126,0
P135896545,-5.124,0
C33554735_P49708604,-5.123,0
C20363331_P30339287,-5.123,0
P13417941,-5.123,0
C27666200_P40796300,-5.12,0
C19959959_P99768619,-5.118,0
C40321704_P61212542,-5.116,0
C17072160_P25675264,-5.116,0
C05223474_P151226720,-5.115,0
C39912652_P60559867,-5.115,0
P127388267,-5.113,0
P94739602,-5.112,0
C37867306_P56552066,-5.111,0
P48648325,-5.11,0
P120627702,-5.109,0
P151042290,-5.108,0
C97948716_P155517889,-5.103,0
P131706077,-5.102,0
C36384123_P56588072,-5.101,0
P111899962,-5.101,0
P52199267,-5.101,0
P97179253,-5.1,0
C67673501_P103898248,-5.098,0
C35281743_P52344924,-5.098,0
P156214349,-5.096,0
P66145526,-5.095,0
C14729863_P100268556,-5.092,0
C82091947_P128097795,-5.091,0
C35296667_P52371651,-5.091,0
P146653160,-5.091,0
C21037360_P31417648,-5.09,0
P62255820,-5.09,0
P149782699,-5.089,0
C32796504_P48568559,-5.088,0
P07053626,-5.088,0
P108745123,-5.088,0
P55535177,-5.087,0
C13145933_P49622210,-5.086,0
C20424788_P30444932,-5.083,0
C31874899_P47014772,-5.083,0
P136272354,-5.082,0
P153030085,-5.082,0
P110453118,-5.081,0
P155618881,-5.08,0
P71187772,-5.079,0
C35567800_P52786971,-5.078,0
P139945959,-5.078,0
C57721791_P86783918,-5.077,0
C33508422_P49634372,-5.074,0
C98005173_P155665206,-5.073,0
C21040304_P31419500,-5.072,0
P112429911,-5.069,0
C06577958_P56712410,-5.068,0
