Ligand,Score,Flag
ZINC000000008248,-6.71719503,0
ZINC000000043769,-6.71352768,0
ZINC000000007658,-6.70349026,0
ZINC000000050204,-6.70229387,0
ZINC000000059340,-6.6934886,0
ZINC000000046753,-6.69022083,0
ZINC000000004503,-6.68704128,0
ZINC000000009710,-6.67823029,0
ZINC000000032101,-6.67284298,0
ZINC000000024366,-6.67227936,0
ZINC000000707624,-6.66975451,0
ZINC000000039914,-6.66387367,0
ZINC000000000720,-6.66278362,0
ZINC000000039712,-6.65911007,0
ZINC000000015708,-6.65854788,0
ZINC000000062780,-6.65391111,0
ZINC000000042517,-6.65386629,0
ZINC000000000288,-6.64894676,0
ZINC000000003851,-6.64770889,0
ZINC000000035016,-6.63694143,0
ZINC000000022325,-6.62568188,0
ZINC000000039900,-6.62012815,0
ZINC000000033431,-6.6200366,0
ZINC000000027319,-6.61715174,0
ZINC000000000941,-6.61431551,0
ZINC000000023838,-6.60588694,0
ZINC000000000570,-6.60365486,0
ZINC000000035542,-6.59916735,0
ZINC000000005200,-6.5975914,0
ZINC000000000050,-6.58004093,0
ZINC000000005516,-6.57710695,0
ZINC000000047374,-6.57330894,0
ZINC000000035554,-6.57194662,0
ZINC000000049756,-6.56942701,0
ZINC000000006765,-6.55540228,0
ZINC000000003976,-6.55231714,0
ZINC000000005160,-6.54637432,0
ZINC000000006149,-6.54448175,0
ZINC000000017171,-6.54298449,0
ZINC000000006923,-6.54128313,0
ZINC000000001116,-6.54068136,0
ZINC000000015508,-6.54045916,0
ZINC000000032921,-6.5398016,0
ZINC000000038125,-6.53932524,0
ZINC000000056237,-6.53564882,0
ZINC000000010490,-6.52996111,0
ZINC000000028591,-6.52428198,0
ZINC000000046751,-6.52245331,0
ZINC000000000430,-6.52110195,0
ZINC000000027407,-6.51793718,0
ZINC000000004517,-6.51747751,0
ZINC000000028531,-6.51728916,0
ZINC000000040042,-6.5102582,0
ZINC000000019101,-6.50801325,0
ZINC000000035957,-6.50603724,0
ZINC000000163262,-6.47459221,0
ZINC000000004205,-6.47235298,0
ZINC000000004494,-6.46616364,0
ZINC000000023689,-6.46414232,0
ZINC000000009769,-6.46255112,0
ZINC000000020231,-6.45692348,0
ZINC000000039817,-6.44857883,0
ZINC000000002156,-6.4446311,0
ZINC000000035960,-6.43501616,0
ZINC000000014479,-6.42475891,0
ZINC000000039406,-6.42461586,0
ZINC000000028578,-6.41990232,0
ZINC000000043514,-6.41634798,0
ZINC000000000542,-6.40819407,0
ZINC000000033634,-6.40516424,0
ZINC000000035750,-6.40344429,0
ZINC000000023690,-6.40048933,0
ZINC000000017560,-6.39810896,0
