Compound,Best,Flag
C95498035_P150081860,-8.4429636,0
C36556607_P54334493,-8.44290543,0
C35685488_P52970430,-8.44202042,0
C25191075_P37241722,-8.44183636,0
C25449671_P37643513,-8.43696976,0
C25720223_P37992891,-8.43615723,0
Misc_182-2GZ7,-8.43395329,1
C02789957_P21478350,-8.43383598,0
C04011352_P04951329,-8.43230534,0
C50479275_P75486401,-8.43051815,0
C41076425_P62347955,-8.43018723,0
C40657606_P61719885,-8.42985821,0
C40281300_P61145358,-8.42985439,0
C72312587_P112387560,-8.42596912,0
C59146499_P89748497,-8.42357826,0
C98007146_P155668963,-8.42269897,0
C37603167_P55918192,-8.41850281,0
C58849409_P89079193,-8.4171629,0
C33170517_P49067573,-8.41550827,0
C17136159_P29457350,-8.415452,0
C58014204_P87386634,-8.41457939,0
C01467964_P49330233,-8.41365337,0
C33170589_P49088829,-8.41112232,0
C96242465_P151680167,-8.40911293,0
C36806837_P54703373,-8.40492821,0
C06600610_P10400315,-8.40441132,0
C39440607_P59776756,-8.4041729,0
C64813921_P151912083,-8.40398121,0
C09776403_P134529186,-8.40107727,0
Pyrimidine_140a-2GZ7,-8.40034103,1
C65129467_P100076978,-8.39927578,0
C55651920_P83822660,-8.39814854,0
C46027370_P87631483,-8.3964119,0
C71890516_P131118472,-8.3962698,0
C08395923_P74126888,-8.39516163,0
C64580438_P99168502,-8.39357567,0
C50631277_P75722764,-8.39129448,0
C14459498_P22114893,-8.39108276,0
C59335689_P90197748,-8.39105034,0
C24605360_P36448291,-8.38990211,0
C13263804_P20113509,-8.38860989,0
C39866030_P60488992,-8.38604164,0
C20107031_P29918850,-8.38550663,0
C35807309_P53153432,-8.38490486,0
C33881757_P54146052,-8.38407135,0
C11867181_P17547617,-8.3837471,0
C15775041_P104004025,-8.38372231,0
C71752912_P111156443,-8.38216496,0
Triazole_104-2GZ7,-8.38199043,1
C09174141_P15031899,-8.3795023,0
C33359423_P49382574,-8.37640381,0
C25425505_P37576997,-8.37536526,0
C09641137_P14772324,-8.37433243,0
C08683461_P57115921,-8.37430668,0
C25164874_P37210534,-8.37207508,0
C01075012_P09546826,-8.3716135,0
C21233193_P31689349,-8.37147045,0
C46707110_P70144157,-8.37132454,0
C12604612_P95676448,-8.37103844,0
C10964402_P156271807,-8.37060928,0
C19535919_P28930526,-8.36998653,0
C01283839_P57764893,-8.36806679,0
C39897320_P60527073,-8.3660574,0
C36614388_P54416709,-8.36209679,0
C62833713_P96423318,-8.3606348,0
C36611904_P54413714,-8.35538292,0
C24967292_P60667151,-8.35337734,0
C33276513_P49211227,-8.35216522,0
C97966246_P155572318,-8.35083294,0
C63209438_P97072189,-8.34683418,0
C15841936_P23881840,-8.34681129,0
C05330100_P09758152,-8.3458271,0
C39897043_P60526796,-8.34471321,0
C05562688_P08276275,-8.34272003,0
C37522699_P152423791,-8.34131622,0
C46009195_P100424341,-8.33903885,0
C56912683_P85458653,-8.33900642,0
C89668954_P140177239,-8.33774185,0
C35706449_P52999872,-8.33650684,0
C09457925_P14487248,-8.33642673,0
C10767742_P16226434,-8.33633995,0
C06077071_P112460114,-8.33393574,0
C21337273_P31856894,-8.33198547,0
C49060387_P73285944,-8.33162022,0
C24104734_P35761408,-8.33142757,0
C02733865_P21481182,-8.33041191,0
C01297118_P56415889,-8.33016682,0
C19973898_P29784891,-8.33012962,0
C13682163_P21054234,-8.32836628,0
C71748498_P111135656,-8.32695007,0
C83264375_P130150201,-8.32608891,0
C24758550_P36720932,-8.32375813,0
C97424378_P154313259,-8.32317352,0
C55142255_P83062322,-8.32140541,0
C08443016_P12795219,-8.32116318,0
C12380236_P56693880,-8.32068253,0
C12348488_P97718540,-8.32004261,0
C22933577_P90816051,-8.31898022,0
C06692324_P81824574,-8.31684971,0
C49581369_P74051094,-8.31561279,0
C50629920_P75720702,-8.31532001,0
C02465903_P06315394,-8.31302929,0
C15894541_P155575642,-8.3119812,0
C09635752_P14764430,-8.31015587,0
C18199037_P27208150,-8.30996799,0
C20066315_P74105215,-8.309659,0
C01070732_P47359771,-8.30763054,0
C98008439_P155671328,-8.30397701,0
Isatin_79-2GZ7,-8.30173302,1
C00739026_P155685888,-8.30108929,0
C40340557_P61237302,-8.30108643,0
C13642579_P21002581,-8.30011749,0
C09127710_P14005104,-8.3000164,0
Isatin_78-2GZ7,-8.29996777,1
C22023102_P32775078,-8.2976141,0
C04112718_P05198686,-8.29709148,0
C19865940_P29525696,-8.29622841,0
C94264582_P147733263,-8.29592228,0
C94263980_P147738400,-8.29545593,0
Isatin_81-2GZ7,-8.2936554,1
C59489548_P90542689,-8.2935133,0
C04171639_P49251242,-8.29320431,0
C08744064_P97484563,-8.29112148,0
C06407796_P29397377,-8.29029751,0
C19564068_P28960184,-8.29021358,0
C13607678_P92112912,-8.28986645,0
C15731576_P23726531,-8.28954411,0
C36664994_P58323719,-8.28771496,0
C39336869_P97665216,-8.28599262,0
C71813303_P111358371,-8.28517532,0
C30681806_P45147531,-8.28512192,0
C58104827_P87581314,-8.28295612,0
