Ligand,Score,Flag
ZINC000000124723,-5.90498114,0
ZINC000000160473,-5.88706779,0
ZINC000000001823,-5.88679504,0
ZINC000000018263,-5.87615013,0
ZINC000000125231,-5.86014652,0
ZINC000000133689,-5.84745264,0
ZINC000000136479,-5.84589005,0
ZINC000000001128,-5.81012297,0
ZINC000000010722,-5.80478525,0
ZINC000000001729,-5.7928195,0
ZINC000000051450,-5.77595377,0
ZINC000000124803,-5.76422548,0
ZINC000000003868,-5.74786615,0
ZINC000000005355,-5.71931839,0
ZINC000000144407,-5.71703577,0
ZINC000000164368,-5.70320892,0
ZINC000000066090,-5.69917822,0
ZINC000000015508,-5.69444799,0
ZINC000000002149,-5.68960714,0
ZINC000000013300,-5.66210222,0
ZINC000000124407,-5.64583111,0
ZINC000000039641,-5.6411128,0
ZINC000000040751,-5.63605452,0
ZINC000000017834,-5.63041639,0
ZINC000000008935,-5.62771749,0
ZINC000000003834,-5.60638714,0
ZINC000000007743,-5.60134506,0
ZINC000000077224,-5.56950092,0
ZINC000000009776,-5.54108763,0
ZINC000000008936,-5.53250456,0
ZINC000000001905,-5.53051853,0
ZINC000000000882,-5.50241041,0
ZINC000000027317,-5.47117138,0
ZINC000000001580,-5.45614243,0
ZINC000000002687,-5.45168257,0
ZINC000000022766,-5.42154932,0
ZINC000000004597,-5.34888554,0
ZINC000000077861,-5.33413553,0
ZINC000000100774,-5.3340354,0
ZINC000000027636,-5.31218624,0
ZINC000000016356,-5.27244425,0
ZINC000000001852,-5.26954794,0
ZINC000000003750,-5.26637888,0
ZINC000000096880,-5.21395445,0
ZINC000000002211,-5.18109226,0
ZINC000000124925,-5.14180803,0
ZINC000000052306,-5.13372707,0
ZINC000000024584,-5.11946964,0
ZINC000000039729,-5.0991106,0
ZINC000000006564,-5.09638357,0
ZINC000000003017,-5.07677364,0
ZINC000000002686,-4.98686457,0
ZINC000000077329,-4.96897364,0
ZINC000000002116,-4.89698601,0
ZINC000000082907,-4.88130474,0
ZINC000000002115,-4.81710196,0
ZINC000000115119,-4.81015587,0
ZINC000000000015,-4.80474567,0
ZINC000000140076,-4.75205755,0
ZINC000000001886,-4.61322689,0
ZINC000000002247,-4.60989523,0
ZINC000000031221,-4.55175972,0
ZINC000000000267,-4.53372145,0
ZINC000000028135,-4.47756958,0
ZINC000000035825,-4.43683195,0
ZINC000000016788,-4.42861223,0
ZINC000000035824,-4.42418718,0
ZINC000000007992,-4.32882118,0
ZINC000000003184,-4.32634687,0
ZINC000000000936,-4.24836063,0
ZINC000000024916,-4.18845844,0
ZINC000000124263,-4.07894897,0
ZINC000000001289,-3.65998507,0
